"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"03/19/2023","AQS","481130050","3","7.3","ug/m3 LC","41","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"03/20/2023","AQS","481130050","3","8.7","ug/m3 LC","48","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"03/21/2023","AQS","481130050","3","6.8","ug/m3 LC","38","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"03/22/2023","AQS","481130050","3","9.4","ug/m3 LC","52","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"03/23/2023","AQS","481130050","3","11.2","ug/m3 LC","55","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"03/24/2023","AQS","481130050","3","8.3","ug/m3 LC","46","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"03/25/2023","AQS","481130050","3","13.3","ug/m3 LC","59","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"03/26/2023","AQS","481130050","3","13.4","ug/m3 LC","59","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"03/27/2023","AQS","481130050","3","7.8","ug/m3 LC","43","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"03/28/2023","AQS","481130050","3","9.9","ug/m3 LC","52","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"03/29/2023","AQS","481130050","3","14.9","ug/m3 LC","62","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"03/30/2023","AQS","481130050","3","13.3","ug/m3 LC","59","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"03/31/2023","AQS","481130050","3","11.9","ug/m3 LC","56","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"04/01/2023","AQS","481130050","3","9.5","ug/m3 LC","52","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"04/02/2023","AQS","481130050","3","13.5","ug/m3 LC","59","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
"04/03/2023","AQS","481130050","3","16.2","ug/m3 LC","64","Convention Center","1","100.0000","88101","PM2.5 - Local Conditions","209","Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C","19100","Dallas-Fort Worth-Arlington, TX","48","Texas","113","Dallas","32.7742584","-96.7976775"
